Meaning1,Arabic1,Meaning2,Arabic2
"This, that...!",,"No, No!!!",
this, هَذَا   mg,(There is) no god, لَا     إِلهَ 
that, ذالِكَ mg,except Allah, إِلَّا    الله 
this, هَذِهِ   fg,"never, certainly not", كَلَّا
that, تِلْكَ   fg,not,  لَنْ  (for future)
these, هؤُلَاء ِ mg/fg,not,  لَمْ  (for past)
those, اُولئِكَ ِ mg/fg,not,  مَا 
he who, الَّذِي mg,not, لَيْسَ (لَيْسَتْ fg)
she who, الَّتِي   fg,"yes, indeed", بَلَى 
those who, الَّذِينَ  mg ,"not, other than", غَيْر  
these,  هذِهِ  (for br.pl),besides; less than, دُونَ 
those,  تِلْكَ  (for br.pl),except; unless; if not, إِلَّا 
those who,  الَّتِي  (for br.pl),yes, نَعَمْ 
